Datetime,Open,Close,High,Low,Volume
<<<<<<< HEAD
2025-01-02 14:30:00+00:00,21117.8359375,21086.87890625,21236.59375,20982.998046875,0
2025-01-02 15:30:00+00:00,21087.419921875,21092.00390625,21122.890625,20999.927734375,114867615
2025-01-02 16:30:00+00:00,21091.203125,20960.873046875,21152.39453125,20955.89453125,93014823
2025-01-02 17:30:00+00:00,20946.810546875,20866.994140625,20946.810546875,20801.91015625,102514964
2025-01-02 18:30:00+00:00,20860.451171875,20914.1171875,20923.443359375,20801.388671875,77613986
2025-01-02 19:30:00+00:00,20910.5390625,20961.0859375,20975.17578125,20870.380859375,80974216
2025-01-02 20:30:00+00:00,20967.759765625,20978.416015625,20993.279296875,20929.498046875,77979791
2025-01-03 14:30:00+00:00,21100.8359375,21140.220703125,21230.619140625,21076.521484375,0
2025-01-03 15:30:00+00:00,21139.138671875,21227.0078125,21227.0078125,21111.220703125,116054113
2025-01-03 16:30:00+00:00,21226.3203125,21252.509765625,21287.42578125,21225.6171875,88607229
2025-01-03 17:30:00+00:00,21253.3359375,21304.185546875,21304.185546875,21248.935546875,74592883
2025-01-03 18:30:00+00:00,21302.880859375,21339.08203125,21346.921875,21297.6328125,83224305
2025-01-03 19:30:00+00:00,21337.20703125,21328.787109375,21359.5625,21310.447265625,78950776
2025-01-03 20:30:00+00:00,21323.19921875,21323.234375,21334.083984375,21285.62109375,94869790
2025-01-06 14:30:00+00:00,21552.53515625,21683.58984375,21693.18359375,21542.619140625,0
2025-01-06 15:30:00+00:00,21686.7890625,21695.314453125,21703.3203125,21655.0625,151145229
2025-01-06 16:30:00+00:00,21695.072265625,21636.783203125,21695.072265625,21627.2421875,121263668
2025-01-06 17:30:00+00:00,21632.541015625,21594.294921875,21643.337890625,21560.533203125,94056127
2025-01-06 18:30:00+00:00,21594.353515625,21521.568359375,21597.31640625,21488.4140625,97148568
2025-01-06 19:30:00+00:00,21521.46484375,21538.716796875,21540.849609375,21463.21484375,98957512
2025-01-06 20:30:00+00:00,21541.05859375,21562.013671875,21562.013671875,21489.328125,115243267
2025-01-07 14:30:00+00:00,21614.263671875,21396.765625,21617.548828125,21344.32421875,0
2025-01-07 15:30:00+00:00,21389.826171875,21374.01953125,21396.74609375,21227.4609375,201116377
2025-01-07 16:30:00+00:00,21372.0078125,21247.80078125,21374.544921875,21234.083984375,106067264
2025-01-07 17:30:00+00:00,21248.28515625,21325.814453125,21335.111328125,21210.455078125,80044553
2025-01-07 18:30:00+00:00,21323.16796875,21275.470703125,21324.486328125,21251.275390625,73306412
2025-01-07 19:30:00+00:00,21273.5859375,21149.3125,21274.966796875,21146.423828125,98694580
2025-01-07 20:30:00+00:00,21155.833984375,21175.24609375,21186.720703125,21101.294921875,109176706
2025-01-08 14:30:00+00:00,21156.33203125,21105.037109375,21215.375,21052.326171875,0
2025-01-08 15:30:00+00:00,21103.83203125,21150.169921875,21180.3671875,21099.1328125,113271184
2025-01-08 16:30:00+00:00,21150.09375,21008.75,21230.857421875,21004.111328125,96837159
2025-01-08 17:30:00+00:00,21010.912109375,21199.080078125,21214.40234375,20993.265625,97198292
2025-01-08 18:30:00+00:00,21197.353515625,21232.50390625,21242.251953125,21105.29296875,87518268
2025-01-08 19:30:00+00:00,21228.595703125,21167.392578125,21228.595703125,21123.85546875,80759994
2025-01-08 20:30:00+00:00,21168.048828125,21179.001953125,21194.57421875,21131.818359375,86017838
2025-01-10 14:30:00+00:00,21003.5390625,20862.392578125,21011.1015625,20721.126953125,0
2025-01-10 15:30:00+00:00,20865.57421875,20776.36328125,20954.935546875,20767.060546875,156547870
2025-01-10 16:30:00+00:00,20775.13671875,20793.173828125,20818.78515625,20728.880859375,102787776
2025-01-10 17:30:00+00:00,20790.70703125,20942.798828125,20963.2265625,20790.70703125,92015416
2025-01-10 18:30:00+00:00,20947.4375,20931.484375,21004.419921875,20883.935546875,87501943
2025-01-10 19:30:00+00:00,20930.451171875,20845.490234375,20931.14453125,20838.70703125,86919262
2025-01-10 20:30:00+00:00,20840.62890625,20846.12890625,20874.859375,20818.89453125,103885010
2025-01-13 14:30:00+00:00,20590.0390625,20558.0234375,20688.560546875,20538.625,0
2025-01-13 15:30:00+00:00,20557.43359375,20594.28125,20711.0390625,20557.43359375,129611675
2025-01-13 16:30:00+00:00,20592.95703125,20679.6328125,20692.61328125,20555.794921875,95666004
2025-01-13 17:30:00+00:00,20678.255859375,20722.720703125,20729.845703125,20655.46484375,72030383
2025-01-13 18:30:00+00:00,20722.73828125,20724.830078125,20743.091796875,20674.37109375,78002479
2025-01-13 19:30:00+00:00,20721.8046875,20717.880859375,20756.0625,20704.916015625,85677960
2025-01-13 20:30:00+00:00,20717.54296875,20784.162109375,20797.1015625,20711.01953125,94263774
2025-01-14 14:30:00+00:00,20906.1953125,20856.708984375,20968.8203125,20809.82421875,0
2025-01-14 15:30:00+00:00,20859.828125,20753.84765625,20864.53125,20720.533203125,124196634
2025-01-14 16:30:00+00:00,20750.62109375,20698.65625,20766.0546875,20654.859375,81439874
2025-01-14 17:30:00+00:00,20696.890625,20779.04296875,20781.67578125,20639.580078125,64961311
2025-01-14 18:30:00+00:00,20777.998046875,20820.912109375,20847.16015625,20769.373046875,74084971
2025-01-14 19:30:00+00:00,20820.677734375,20677.572265625,20842.376953125,20625.681640625,97452782
2025-01-14 20:30:00+00:00,20680.921875,20758.91015625,20758.91015625,20641.2265625,92258654
2025-01-15 14:30:00+00:00,21069.521484375,21220.59375,21234.787109375,21026.84765625,0
2025-01-15 15:30:00+00:00,21221.796875,21163.765625,21225.453125,21158.67578125,118568762
2025-01-15 16:30:00+00:00,21163.7421875,21158.736328125,21163.7421875,21087.115234375,87578452
2025-01-15 17:30:00+00:00,21165.5703125,21217.9140625,21218.125,21157.119140625,74532665
