Date,Synthetic Index Dividend
2002-01-01 00:00:00-05:00,0.0
2002-01-02 00:00:00-05:00,0.0
2002-01-03 00:00:00-05:00,0.0
2002-01-04 00:00:00-05:00,0.0
2002-01-05 00:00:00-05:00,0.0
2002-01-06 00:00:00-05:00,0.0
2002-01-07 00:00:00-05:00,0.0
2002-01-08 00:00:00-05:00,0.0
2002-01-09 00:00:00-05:00,0.0
2002-01-10 00:00:00-05:00,0.0
2002-01-11 00:00:00-05:00,8.17358193277311e-05
2002-01-12 00:00:00-05:00,0.0
2002-01-13 00:00:00-05:00,0.0
2002-01-14 00:00:00-05:00,0.0
2002-01-15 00:00:00-05:00,0.0
2002-01-16 00:00:00-05:00,0.0
2002-01-17 00:00:00-05:00,0.0
2002-01-18 00:00:00-05:00,0.0
2002-01-19 00:00:00-05:00,0.0
2002-01-20 00:00:00-05:00,0.0
2002-01-21 00:00:00-05:00,0.0
2002-01-22 00:00:00-05:00,0.0
2002-01-23 00:00:00-05:00,0.0
2002-01-24 00:00:00-05:00,0.0
2002-01-25 00:00:00-05:00,0.0
2002-01-26 00:00:00-05:00,0.0
2002-01-27 00:00:00-05:00,0.0
2002-01-28 00:00:00-05:00,0.0
2002-01-29 00:00:00-05:00,0.00012710084033613444
2002-01-30 00:00:00-05:00,0.0001733193277310924
2002-01-31 00:00:00-05:00,0.0
2002-02-01 00:00:00-05:00,0.0
2002-02-02 00:00:00-05:00,0.0
2002-02-03 00:00:00-05:00,0.0
2002-02-04 00:00:00-05:00,0.0
2002-02-05 00:00:00-05:00,0.00013392857142857144
2002-02-06 00:00:00-05:00,0.0015756302521008402
2002-02-07 00:00:00-05:00,0.0002264968487394958
2002-02-08 00:00:00-05:00,0.0
2002-02-09 00:00:00-05:00,0.0
2002-02-10 00:00:00-05:00,0.0
2002-02-11 00:00:00-05:00,0.0
2002-02-12 00:00:00-05:00,0.0
2002-02-13 00:00:00-05:00,0.0004772014180672269
2002-02-14 00:00:00-05:00,8.299579831932773e-05
2002-02-15 00:00:00-05:00,0.0008206897321428572
